artist,country,lineage
Rocket Punch,South Korean,Asian
Doyoung,South Korean,Asian
Kim Chang-wan,South Korean,Asian
JinJoo Lee,South Korean,Asian
Diva,South Korean,Asian
History,South Korean,Asian
Song Seung-hyun,South Korean,Asian
Oh! Brothers,South Korean,Asian
Kim Dong-jun,South Korean,Asian
4Men,South Korean,Asian
GP Basic,South Korean,Asian
Yuju,South Korean,Asian
14U,South Korean,Asian
Punch ,South Korean,Asian
Mystic Puzzle,South Korean,Asian
100%,South Korean,Asian
Yuk Ji-dam,South Korean,Asian
Hyojung,South Korean,Asian
Kim Soo-chul,South Korean,Asian
Zhou Mi ,South Korean,Asian
Lim Young-woong,South Korean,Asian
JQT ,South Korean,Asian
Pixy ,South Korean,Asian
Category:S.E.S.  members,South Korean,Asian
TST,South Korean,Asian
CIX,South Korean,Asian
Jamie ,South Korean,Asian
Cultwo,South Korean,Asian
Yezi,South Korean,Asian
List of South Korean idol groups,South Korean,Asian
Yoon Chae-kyung,South Korean,Asian
Gree,South Korean,Asian
Category:After School,South Korean,Asian
Seulgi,South Korean,Asian
T.T.Ma,South Korean,Asian
Category:Super Junior-K.R.Y. members,South Korean,Asian
Young K,South Korean,Asian
Drippin,South Korean,Asian
Sang Won Park,South Korean,Asian
IZ ,South Korean,Asian
Papaya ,South Korean,Asian
Park Bom,South Korean,Asian
Ahn Jae-wook,South Korean,Asian
Park Bo-ram,South Korean,Asian
Shoo ,South Korean,Asian
SinB,South Korean,Asian
JJCC,South Korean,Asian
Seven ,South Korean,Asian
Song Yuvin,South Korean,Asian
ONF ,South Korean,Asian
Hari ,South Korean,Asian
Be.A,South Korean,Asian
Reddy,South Korean,Asian
S.E.S.,South Korean,Asian
Youngmi Kim,South Korean,Asian
Seo In-young,South Korean,Asian
Song Yuqi,South Korean,Asian
Kanto,South Korean,Asian
Luda,South Korean,Asian
UNB,South Korean,Asian
DKB,South Korean,Asian
Jinusean,South Korean,Asian
Bae Woo-hee,South Korean,Asian
Wax,South Korean,Asian
Imfact,South Korean,Asian
HeartB,South Korean,Asian
The Boyz ,South Korean,Asian
Ulala Session,South Korean,Asian
Taeyeon,South Korean,Asian
Loona,South Korean,Asian
Brown Eyed Girls,South Korean,Asian
Park Jin-young,South Korean,Asian
List of songs written and produced by Hui,South Korean,Asian
Joy ,South Korean,Asian
Pixy,South Korean,Asian
Joo Young-hoon,South Korean,Asian
Itzy,South Korean,Asian
Anda,South Korean,Asian
Lee Seung-hoon,South Korean,Asian
Lee Hye-ri,South Korean,Asian
KCM ,South Korean,Asian
Yoon Il-sang,South Korean,Asian
Kim Chanmi ,South Korean,Asian
Category:Kara,South Korean,Asian
Im Yoon-ah,South Korean,Asian
Honey G ,South Korean,Asian
Kei ,South Korean,Asian
Two Two,South Korean,Asian
The Boyz,South Korean,Asian
Jooyoung,South Korean,Asian
24Hours,South Korean,Asian
Misfit,South Korean,Asian
Crash ,South Korean,Asian
NU'EST W,South Korean,Asian
S ,South Korean,Asian
Eddy Kim,South Korean,Asian
Seo Taiji and Boys,South Korean,Asian
Bestie,South Korean,Asian
Kim Min-ju,South Korean,Asian
Nada,South Korean,Asian
Heo Young-saeng,South Korean,Asian
Teen Teen,South Korean,Asian
Lee Joo-yeon,South Korean,Asian
Im Chang-jung,South Korean,Asian
DJ Clazzi,South Korean,Asian
Lightsum,South Korean,Asian
Jay B,South Korean,Asian
Kim Tae-gyun,South Korean,Asian
Park Woo-jin,South Korean,Asian
Jinho,South Korean,Asian
Park Geon-il,South Korean,Asian
May,South Korean,Asian
Taegoon,South Korean,Asian
Lim Jeong-hee,South Korean,Asian
J-Min,South Korean,Asian
J Rabbit,South Korean,Asian
Eugene,South Korean,Asian
The Boss,South Korean,Asian
Bursters,South Korean,Asian
Arie,South Korean,Asian
Sunmi,South Korean,Asian
Category:N-Train members,South Korean,Asian
Category:Highlight,South Korean,Asian
